benny,Dublino,fiume Liffey,https://live.staticflickr.com/65535/48075506922_07a5c1209f_b.jpg,Dublino,fiume Liffey
benny,Lisbona,Elevador,https://travel.thewom.it/pictures/2018/07/02/elevador-santa-justa.jpeg,Dublino,Guinness Storehouse
benny,Roma,Orologio ad acqua,https://upload.wikimedia.org/wikipedia/commons/6/62/Hydrochronometer_by_Embriaco_%28total_view_with_signs%29.jpg,Roma,Trastevere
benny,Lisbona,Elevador,https://travel.thewom.it/pictures/2018/07/02/elevador-santa-justa.jpeg,Lisbona,Elevador
benny,Lisbona,Tram28,https://cdn.marcopolo.tv/960x480/media/post/zelrz87/lisbona-tram28.jpg,Dublino,Fiume Liffey
benny,Dublino,https://b77.it/wp-content/uploads/2019/08/Dublino.jpg,Fiume Liffey,Non so,Non so
benny,Lisbona,Oceanario,https://acquarioincasa.it/wp-content/uploads/2019/12/Oceanario-di-Lisbona-Portogallo-1.jpg,Lisbona,Oceanario
benny,Dublino,Temple Bar,https://media-cdn.tripadvisor.com/media/photo-s/0e/25/75/35/temple-bar-pub-in-christmas.jpg,Dublino,Temple Bar
benny,Roma,Trastevere,https://www.enotecatrastevere.it/wp-content/uploads/2019/04/la-storia.jpg,Dublino,Non so
benny,Lisbona,Tram28,https://media.tacdn.com/media/attractions-splice-spp-674x446/0a/48/85/aa.jpg,Lisbona,Tram28
benny,Dublino,https://www.viaggipronti.it/wp-content/uploads/2019/11/dublin-3848404_1920.jpg,Temple Bar,Non so,Non so
benny,Dublino,Fiume Liffey,https://live.staticflickr.com/65535/48075506922_07a5c1209f_b.jpg,Dublino,Fiume Liffey
benny1,Roma,Orologio ad acqua,https://upload.wikimedia.org/wikipedia/commons/6/62/Hydrochronometer_by_Embriaco_%28total_view_with_signs%29.jpg,Roma,Orologio ad acqua
benny1,Roma,Orologio ad acqua,https://www.romatoday.it/~media/horizontal-hi/41638406313640/orologio-ad-acqua-del-pincio-destinazioneterra-2.jpg,Dublino,Non so
benny1,Roma,https://www.enotecatrastevere.it/wp-content/uploads/2019/04/la-storia.jpg,Trastevere,Non so,Non so
benny1,Lisbona,Elevador,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Lisbon_%28Lisboa%29_historic_elevator_Santa_Justa_Luca_Galuzzi_2006.jpg/399px-Lisbon_%28Lisboa%29_historic_elevator_Santa_Justa_Luca_Galuzzi_2006.jpg,Lisbona,Elevador
benny1,Dublino,Fiume Liffey,https://live.staticflickr.com/65535/48075506922_07a5c1209f_b.jpg,Dublino,Non so
benny1,Lisbona,Elevador,https://travel.thewom.it/pictures/2018/07/02/elevador-santa-justa.jpeg,Lisbona,Elevador
benny1,Dublino,Fiume Liffey,https://b77.it/wp-content/uploads/2019/08/Dublino.jpg,Dublino,Temple Bar
benny1,Dublino,Temple Bar,https://media-cdn.tripadvisor.com/media/photo-s/0e/25/75/35/temple-bar-pub-in-christmas.jpg,Dublino,Temple Bar
benny1,Lisbona,Tram28,https://media.tacdn.com/media/attractions-splice-spp-674x446/0a/48/85/aa.jpg,Roma,Non so
benny1,Lisbona,Oceanario,https://acquarioincasa.it/wp-content/uploads/2019/12/Oceanario-di-Lisbona-Portogallo-1.jpg,Lisbona,Oceanario
benny2,Lisbona,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Lisbon_%28Lisboa%29_historic_elevator_Santa_Justa_Luca_Galuzzi_2006.jpg/399px-Lisbon_%28Lisboa%29_historic_elevator_Santa_Justa_Luca_Galuzzi_2006.jpg,Elevador,Non so,Non so
benny2,Lisbona,Elevador,https://travel.thewom.it/pictures/2018/07/02/elevador-santa-justa.jpeg,Lisbona,Elevador
benny2,Roma,Trastevere,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/roma-trastevere-cosa-vedere-1592088377.jpg,Roma,Non so
benny2,Dublino,Guinness Storehouse,https://www.vologratis.org/wp-content/uploads/2019/04/guinness-storehouse-dublino.jpg,Dublino,Fiume Liffey
